发布时间,微博内容,点赞数,评论数,转发数
2019-08-26,papi酱的周一放送——网上和身边永远有一群“挑刺狂魔”，别人说什么他们都能挑出刺，别人做什么他们都觉得有问题，真不知道是能冒犯到他们的点太多，还是挑出别人的“毛病”能让他们有优越感。（无奖问答：视频中的小pa该怎么说才能让人挑不出毛病？（周一愉快❤️papi酱的秒拍视频 ,2152406,101028,146253
2022-12-29,这年头，追客户就跟追对象一样（1） #追客户追出了恋爱的感觉# papi酱的微博视频 ,55057,1467,2408
2022-12-13,铭记历史，勿忘国耻。#国家公祭日# #国家公祭#,1723,35,155
2022-11-16,职场人的内心独白番外篇之——到底什么意思啊？总监大人！#老板的心思谁能懂# papi酱的微博视频 ,40615,1864,2727
2022-11-04,用恐怖片的方式打开购物节 #不是说好不过双十一吗# papi酱的微博视频 ,62202,3855,6581
2022-10-26,假如相亲对象的好友是HR#相亲现场秒变面试现场# papi酱的微博视频 ,74160,3967,5581
2022-10-09,“就这么着吧”“行的” 查看图片,10741,369,102
2022-10-01,与国同梦，共迎华诞。祝祖国繁荣昌盛♥️🇨🇳#庆祝新中国成立73周年#,981,37,36
2022-09-30,节前轻松一下！之papi酱的日常——办公室烂梗大赛！你们觉得谁的烂梗更烂？不会再有更烂的了吧？（国庆愉快！#首届办公室烂梗大赛# papi酱的微博视频 ,37841,1598,1937
2022-09-30,缅怀先烈，致敬英雄。,1063,12,64
2022-09-29,今晚8点30我在@云鲸NARWAL 天猫云鲸直播间体验云鲸新品J3小鲸灵，还有万元豪礼一起来抢，今晚不见不散哦～#天猫超级品牌日# ,1003,244,210
2022-09-21,本期视频灵感来源@papi酱 #到底怎么才算抄袭呢# papi酱的微博视频 ,99805,2908,7004
2022-09-19,孩子的世界是美好的、简单的，愿所有的孩子都能在爱中茁壮成长。守护孤儿，让我们用爱许他们一个温暖的童年。希望大家和我一起关注孤残儿童，一起助力#人人公益节# 。在微博做好事 @春晖博爱 @人人公益节 ,2156,255,221
2022-09-18,铭记历史，吾辈自强！,1589,42,150
2022-09-12,去年拍了没发的视频，这两天翻出来一看，嚯！跟新的一样！#当经纪公司说漏嘴# papi酱的微博视频 ,539189,28201,16419
2022-09-07,老年大学手机课2#老年人用手机行为图鉴# papi酱的微博视频 ,57847,1689,1776
2022-09-05,盼平安！,1413,52,36
2022-09-03,勿忘历史，吾辈自强！#铭记77年前的伟大胜利#,1539,52,100
2022-08-24,还是小时候好（吗？#究竟是长大好还是小时候好# papi酱的微博视频 ,47658,1825,1791
2022-08-17,他变了😢。#他变了我的世界崩塌了# papi酱的微博视频 ,176591,4391,13837
2022-08-10,老师对家长说的话（和她的真实想法#老师都是语言大师吧# papi酱的微博视频 ,50759,2113,4276
2022-08-10,相约云上北影节，和我一起看电影吧！@爱奇艺 @北京国际电影节,1634,73,4
2022-08-02,#只有一个中国# 🇨🇳,9494,517,751
2022-08-01,致敬人民子弟兵！,3110,44,145
2022-07-27,互联网的美妙之处 #当代网友吵架行为图鉴# papi酱的微博视频 ,99133,4515,8152
2022-07-27,工作小case！带娃？同样没问题！既要营养健康又要宝宝思想？作为智慧宝妈当然选择20年专注中国宝宝营养研究，突破性添加“三代OPO”的金领冠珍护。7月28日#聚划算欢聚日#，来金领冠官方旗舰店直播间网页链接和我一起从容养娃！ ,775,61,4
2022-07-22,阳光、雨露和陪伴可以让花朵绽放，但风霜、干涸和无视却可以摧毁大多数的生命，请给予孤残儿童更多关注，看一看，听一听他们的故事，你就会发现，我们所看见的“问题”，都是有“原因”的。和@春晖博爱 一起#撕掉孩子身上的标签# ，见证他们的蜕变，让他们#离幸福更近# ！@微公益 #公益海报创意大赛# ,2918,71,53
2022-07-13,当我和我的闺蜜约饭时 #当我都行遇上你定吧# papi酱的微博视频 ,50725,5735,2742
2022-07-07,友情提示：本期视频仅是一个友情提示#当代短视频观看指南# papi酱的微博视频 ,134993,4088,11315
2022-06-29,假如我是歪果仁 #假如我是歪果仁 # papi酱的微博视频 ,168641,4633,11512
2022-06-22,把钱交给妈妈——没人能拒绝的理财方式#存钱的尽头是交给妈妈# papi酱的微博视频 ,95284,4179,6290
2022-05-31,当妈前后的我判若两人 #像极了过儿童节的父母# papi酱的微博视频 ,66214,9490,73680
2022-05-26,6月1日晚19:30， 我和坚持中国宝宝营养研究20年，成就中国专利配方的金领冠在天猫#618星动夜# 一起陪你过六一哦，上手机淘宝/天猫搜索【金领冠官方旗舰店】预约直播，点击【网页链接】投票，还可以为我定制节目哦！#天猫全明星计划# ,7496,2749,1128
2022-05-25,假如明星成为了你的同事 #当明星变成你同事# papi酱的微博视频 ,79196,3170,2099
2022-05-16,那些怀疑生活故意与我作对的时刻#生活中的恼火时刻# papi酱的微博视频 ,49751,1782,1411
2022-05-13,中午12:00，一起来看#上班啦妈妈# ,2398,131,22
2022-05-12,#汶川地震十四周年# ，致敬重生。,3226,48,198
2022-05-06,卡卡的新书！！想看！,904,71,13
2022-05-05,当我参加别人婚礼时 #像极了参加婚礼的我# papi酱的微博视频 ,45189,1809,1005
2022-04-25,今晚9：00点 ，我去毛雪汪家做客啦！#毛雪汪变大型甲方吐槽大会#,1974,143,58
2022-04-23,久违的世界读书日系列来啦！今年读书日为大家带来——契诃夫的四部剧本。#读书日读什么# papi酱的微博视频 ,28466,1349,2770
2022-04-19,当大姐大来到职场 #当黑道大姐大来到职场# papi酱的微博视频 ,39475,1586,1368
2022-04-13,妈妈们的迷惑行为 #全国统一的亲妈行为大赏# papi酱的微博视频 ,93050,13512,64388
2022-04-06,//@Daghe:有能力的朋友在条件允许的情况下多帮帮忙吧！多谢多谢好心人！,1322,91,860
2022-04-06,今晚18:00，跟我一起“回家”吧 。#送一百位女孩回家# ,5837,274,72
2022-03-30,当晚会主持人做了老师 #主持人当老师有多好笑# papi酱的微博视频 ,50199,2118,3028
2022-03-27,默哀，逝者安息,3261,86,170
2022-03-16,各种类型的吵架选手#现代吵架行为大赏# papi酱的微博视频 ,81178,3999,4242
2022-03-10,老板的异想世界——完美上班族#被完美上班族吓哭了# papi酱的微博视频 ,77853,3211,5728
2022-03-04,小鹿！《女儿红》！！来了！！！,1282,66,31
2022-03-04,用创造定义价值，找到属于自己的进化方式。与我同行，尽享率性素颜之美。携手@麦吉丽MAGELINE，传递#中国女性素颜之美#。 ,11492,1000,393
2022-03-02,当代年轻人的奶茶文化#奶茶喝出了酒的感觉# papi酱的微博视频 ,145335,5723,7141
2022-02-23,我做作业时摸过的鱼 #做作业摸鱼行为大赏# papi酱的微博视频 ,49154,2986,2033
2022-02-17, ,1626,510,47
2022-02-16,虎年开工季，用@天眼查 获取更多商业信息，祝所有创业者在新的一年乘风破浪！#查商业用天眼查#,1620,622,610
2022-02-04,过年期间的内心独白（2）#像极了拜年时的我家# papi酱的微博视频 ,86751,2720,3477
2022-01-30,过年期间的内心独白（1）#拜年期间最令人疲惫的行为# papi酱的微博视频 ,147979,7056,9709
2022-01-26,我的妈妈是个老甲方（2）#当你有个做甲方的妈# papi酱的微博视频 ,56123,1266,1810
2022-01-25,亲爱的朋友们，虎年快到了，pa子为大家准备了精美的wx红包封面，有需要的家人们可在评论区自行领取。（数量有限，领完为止。 ,9591,2758,248
2022-01-20,距离虎年只有10天了，你们准备好迎接春节了嘛？免不了的过年老套路，逃不过的春节旧话题，看我跟 @天猫小黑盒 @天猫超市 年货上新季一起 #和新年套路说拜拜#,1626,130,131
2022-01-14,我的妈妈是个老甲方#当你的妈妈是个老甲方# papi酱的微博视频 ,66684,2073,3013
2022-01-07,妈妈对你的年终盘点#来自妈妈的年终总结# papi酱的微博视频 ,53685,2315,2630
2022-01-01,2022年，你们也要幸福啊！！！！！！！！//@papi酱:2021年，你们也要幸福啊！！！！！！！//@papi酱:2020年，你们也要幸福啊！！！！！！//@papi酱:2019年，你们也要幸福啊！！！！！！！//@papi酱:2018年，你们也要幸福啊！！！！！！！,31022,1352,4488
2021-12-31,shall的shall的,2230,62,85
2021-12-29,距离2022年双11只有xxx天了！你，准备好了吗？#购物节套路有多卷# papi酱的微博视频 ,65854,2597,3589
2021-12-23,与理发师的心理战#我为了拒绝办卡有多努力# papi酱的微博视频 ,141087,5416,3029
2021-12-13,勿忘历史，捍卫和平，吾辈自强。,1892,53,113
2021-12-04,职场人的内心独白lll #职场人的内心独白# papi酱的微博视频 ,98860,3692,6975
2021-12-02,#小朋友是否有很多问号#  我在「新浪新闻·#阅见信箱#」里抽到了晓钰小朋友的问题：为什么鲨鱼总是掉牙？我想对她说：真的吗？？我不知道啊！！所以你看，大人也不是什么都知道。有哪位小朋友可以告诉阿姨这个问题的答案吗？点击抽取并回答留守儿童的疑问和我一起聚焦留守儿童群体，用爱和知识陪伴他们成长吧 ...全文,1193,99,11
2021-11-24,如何做一个“内心强大”的人？#素质见底行为大赏# papi酱的微博视频 ,70103,3320,5324
2021-11-17,你离爆款新闻就差一个标题☝️#离谱的新闻标题# papi酱的微博视频 ,90704,2339,2587
2021-11-03,我上学期间遇到过的奇怪老师。 papi酱的微博视频 ,68461,2513,2272
2021-10-21,有些人面无表情时，情绪已经走了两公里。 papi酱的微博视频 ,107057,4363,4817
2021-10-01,祝福祖国生日快乐🇨🇳,2249,73,96
2021-09-18,缅怀先烈，吾辈自强！,2808,69,224
2021-09-15,papi酱不定期更新的日常——距离上一次月饼测评又过去两年了！今年的月饼节，办公室的小伙伴每人带来了一两款自己感兴趣的月饼，由非专业月饼品鉴师pa子为大家评测一下各种正宗不正宗的月饼！不知道有没有你喜欢的月饼呢？（不出意外的话下次月饼测评将在2023年见面！到时候再见！（提前祝大家中秋节快 ...全文,42121,8692,5472
2021-09-05,很荣幸成为95公益周•公益推广大使以及@中国扶贫基金会 童伴计划项目爱心大使。作为母亲，我深知陪伴对于小朋友的重要意义，每一位小朋友都值得拥有温暖的爱与陪伴。9月5日，上淘宝搜#95公益周# ，和我一起用爱陪伴乡村留守儿童 ,3887,661,342
2021-09-02,残奥冠军苏桦伟和妈妈的故事,3508,85,162
2021-09-01,令人崩溃的语音通话（就不能打电话吗！啊？！ papi酱的微博视频 ,51574,3141,1938
2021-08-26,熊孩子开学前的心理活动 #当代熊孩子开学现状##开学重启计划# papi酱的微博视频 ,73973,2381,2423
2021-08-15,铭记历史，勿忘国耻，吾辈自强！,3981,82,296
2021-08-10,时间过得真快，回想起上次来《拜托了冰箱》还是上次。#拜托了冰箱# 轰趴季 ,17384,774,93
2021-08-09,papi酱的周一放送——冠军时刻 | 办公室奥运会2020延期开幕！本次“办奥会”共派出十余位打工运动员参加含贴票、甩锅、划水等在内的N个项目比赛。我们将为您带来全方位的转播，就在今晚！ #围观奥运会##办公室奥运会# papi酱的微博视频 ,60675,2366,3185
2021-07-28,缅怀逝者，致敬重生,8194,171,96
2021-07-23,用声音传递航天温度，用朗读传播航天梦想。很感激能以“航天精神文化传播大使”的身份参加@中国航天科技集团 主办的#声波里的中国航天# 公益活动。让我们一起在声波里感触航天人的光荣与梦想，在故事中奏响航天强国建设的时代强音！（戳评论区收听 ,9452,838,540
2021-07-20,扩！！,4719,104,676
2021-07-20,转发微博,232,12,47
2021-07-07,铭记这一天，悼念同胞，永怀先烈，吾辈自强！ ,2582,47,110
2021-07-03,昨天你看我看别人做家务了吗？ #做家务的男人# ,10388,459,153
2021-07-01,祝福伟大的党！祝福伟大的祖国！！,4775,85,285
2021-06-17,平平安安！顺顺利利！,4338,95,126
2021-06-15,一起来听杨老师的新歌🎵！！,3201,129,71
2021-06-11,#做家务的男人# 最喜欢看别人做家务了，让我们一起快（指）乐（指）家（点）务（点）。 ,11517,1018,368
2021-06-10,回望我的青春期，感觉自己是傻X——第二弹 papi酱的微博视频 ,65110,2670,2090
2021-06-01,儿童节快乐，多听听孩子的想法吧~ #儿童节# papi酱的微博视频 ,193919,6545,3629
2021-05-31,提问：有没有一部文艺作品，可以让papi的同事们挑不出刺儿？ papi酱的微博视频 ,459548,16296,63187
2021-05-27,传承红色基因，赓续鲁艺精神！中戏人深情祝福建党百年！#唱支歌儿给党听歌咏比赛#,2661,87,83
2021-05-22,缅怀人民永远铭记,13926,216,1317
2021-05-13,职场人的内心独白 papi酱的微博视频 ,106161,4955,10029
2021-05-12,缅怀逝者，致敬重生。,4306,69,308
2021-04-26,大家好，今天将为大家带来的是，2021赛季通勤妆容锦标赛（官方解说版）。#颜艺挑战赛# papi酱的微博视频 ,60165,2759,2553
2021-04-03,缅怀英烈，致敬英雄,6442,408,287
2021-04-01,回望我的青春期，感觉自己是傻X。 papi酱的微博视频 ,87085,3677,3881
2021-03-27,是头发茂密的我本人//@papi的小师妹:今天阴影也打太重了吧这位女士？？？,21330,1282,987
2021-03-25,#我支持新疆棉花# #华春莹说新疆棉花这么好不用是损失#,10333,334,380
2021-03-24,用选秀综艺的方式打开课堂#选秀综艺进课堂# papi酱的微博视频 ,73962,2751,3188
2021-03-19,拥抱昨天，期待明天。（不是说明天就上映的意思（4月2号上映,8468,927,791
2021-03-10,一个汉堡引发的花式蹭热点#两个人吃一个汉堡# papi酱的微博视频 ,235220,5349,6509
2021-03-08,选择自己的人生，带着光芒上场，就是#我心中的出色姑娘#！ #完美日记小细跟上场红# @PerfectDiary完美日记,8298,819,1051
2021-02-26,哎这个女的跟我有点像啊！！！哦不对，就是我。（女主竟是我自己（#明天会好的定档#,28582,2257,2033
2021-02-17, ,5834,2848,236
2021-02-08,我们为今年无法回家过年的人开发了一款游戏——心跳的回家 papi酱的微博视频 ,161363,9880,12660
2021-02-04,云拜年之即使不回家过年，年的味道始终在。 papi酱的微博视频 ,119935,5332,5745
2021-02-01,我家过年搞了个家庭版热搜 papi酱的微博视频 ,178669,3855,3469
2021-01-01,2021年，你们也要幸福啊！！！！！！！//@papi酱:2020年，你们也要幸福啊！！！！！！//@papi酱:2019年，你们也要幸福啊！！！！！！！//@papi酱:2018年，你们也要幸福啊！！！！！！！,71233,2406,7236
2020-12-31,这是我的2020视频回忆，and you? #快进2020# papi酱的微博视频 ,56804,1423,725
2020-12-23,给大家推荐一种我近期超喜欢的单品（本期视频没有广告 papi酱的微博视频 ,148667,7094,5065
2020-12-13,铭记历史，珍爱和平。,6266,177,298
2020-12-02,当生活中充满sx（缩写） #当生活中充满sx# papi酱的微博视频 ,151244,8893,6036
2020-11-10,只要努力，你也可以成为“被带货女王”（理性消费朋友们 papi酱的微博视频 ,55868,2494,2423
2020-11-10,美丽的我和可爱的崽（此崽非我崽（但是太可爱啦！,29227,938,374
2020-10-01,大家国庆快乐！月饼节快乐！,8395,465,226
2020-09-25,看了一整个春节的《夺冠》海报，到了秋天终于正式上映了！#夺冠上映#,11167,407,392
2020-09-09,作为新手妈妈，满足宝宝成长营养所需的同时，更希望宝宝顺应天性自然成长。为此，我携手更懂有机的【Arla宝贝与我】和妈妈们共勉，在育儿的道路上打怪升级。我是有机课代表Papi酱，【Arla宝贝与我】专属99有机学，一起上课吧！ ,22710,1697,912
2020-09-08,关于几个月前网络风波的正式说明。 papi酱的微博视频 ,921268,33744,52718
2020-09-07,Papi酱的周一放送——大家好，我回来了。（祝周一愉快 papi酱的微博视频 ,1282255,201886,194779
2020-08-01,🇨🇳🇨🇳🇨🇳#致敬人民子弟兵#,17816,948,447
2020-05-10,考研那会我觉得复习很累，考上研后觉得读研很累，后来视频拍多了感觉拍视频很累，拍完视频又觉得熬夜开会头脑风暴很累，熬夜习惯后觉得出差很累，适应出差后觉得还是拍戏更累，拍完戏后又觉得好像还是想视频构思比较累，等等等等。如今才发现，啥都不如当妈累。当妈最累。祝所有当妈的#母亲节# 快乐。 ...全文,1017862,44009,23545
2020-04-22,马上又是一年一度的世界读书日了，每年我们都会以视频的形式给大家推荐书籍，今年情况特殊没来得及拍视频，我感到非常骚凹瑞，但依然想给大家推荐我近一年来最喜爱的一套书——来自意大利作家埃莱娜·费兰特的《那不勒斯四部曲》。非常好看！非常好看！！非常好看！！！戳这里荐书接力赛-papi姜逸磊专场 加入 ...全文,51118,2816,933
2020-04-04,#清明追思家国永念#缅怀烈士，致敬英雄。,29457,648,609
2020-03-04,大家好，我卸货了，母子平安。啊，我可真是了不起！ ,4631415,219939,90373
2020-02-17, ,129478,11458,919
2020-02-12,//@凤凰王又又:”我想去平常的上一天班，我想平常的过一个周末，然后重新体味一下过去每一天每一天，我并没有意识到这么重要的这么珍惜的平凡的生活，是那么的重要那么的可贵。我下次还要回来，我要脱掉口罩，自由地呼吸着武汉新鲜的空气。“,12019,364,3780
2020-02-09,“大家一定要咬牙坚持住，百分百配合防控，千万不能在这时候有湖北以外的地方疫情崩盘，否则我们很难同时打赢两场大的局部战争。”,33592,795,4333
2020-02-06,#防疫行动#武汉加油，中国加油。#手写加油接力# @周冬雨 ,68297,1401,177
2020-01-25,新年快乐朋友们，祝愿所有人平安、健康。❤️ ,93417,2188,409
2020-01-24,//@自哈小队:⚠️⚠️⚠️,13478,579,2332
2020-01-21,大家注意安全！勤洗手，出门一定要戴口罩。快过年了，要平平安安的啊！,20921,569,525
2020-01-20,papi酱的周一放送——大家都知道，我怀孕了。 怀孕之后，会发生很多变化，比如说……（怀孕实在是太麻烦了！（猪年最后一期周一放送，提前给大家拜个早年啦！鼠年快乐～ papi酱的微博视频 抽奖详情 ,236131,19356,12453
2020-01-17,永远不变的“女排精神”🇨🇳,13507,161,141
2020-01-16,下周五就过年了，你妈又要嫌你把家弄脏了。 papi酱的微博视频 ,133641,7539,6933
2020-01-03,从小到大的疑问——为何只有我没文化？ papi酱的微博视频 ,161929,5260,9031
2020-01-01,#令人心动的offer#一个月的实习期结束了，最大的感受就是这8名实习生太不容易了！不过，由校园迈向职场的第一步，你们开了一个好头！恭喜邓冰莹、何运晨和李浩源成功拿到offer(敢问8位实习生有没有兴趣来这里工作？ ,40932,1964,503
2020-01-01,2020年，你们也要幸福啊！！！！！！//@papi酱:2019年，你们也要幸福啊！！！！！！！//@papi酱:2018年，你们也要幸福啊！！！！！！！,113190,5480,11866
2019-12-26,谁从小到大没碰见过几个“为你好”的同学/同事呢？ papi酱的微博视频 ,98219,4147,3199
2019-12-19,当八卦同事知道你有女朋友后 #当同事知道你恋爱了# papi酱的微博视频 ,91678,2694,1343
2019-12-18,#令人心动的offer# 今晚的话题是“该不该拒绝临时加班”？我爱加班！加班使我富有！富有使我快乐！ ,21101,1217,734
2019-12-13,#国家公祭日# 勿忘历史，守望和平,11732,398,507
2019-12-11,颜值不是失败的唯一借口，也不是成功的唯一理由。#令人心动的offer#,14381,915,842
2019-12-06,跟女朋友就像是在玩剧本杀。#谈恋爱就像玩剧本杀# papi酱的微博视频 ,109755,5834,2239
2019-11-25,//@papitube:希望更多人可以远离悲剧。#面对家暴不再沉默#,115299,4272,8826
2019-11-22,小小的眼睛里有着大大的疑惑 #明星大侦探#,17508,1325,637
2019-11-21,教学向：#朋友圈花式秀加班# ，你学会了吗？ papi酱的微博视频 ,126694,5232,4804
2019-11-20,自从第一次见到她，我就知道，她，就是那个人！果然，无论是她辩论时，那快速飞转的大脑，那脱口而出的逻辑，那自信从容的笑意，都验证了我的猜想。啊，她是多么的耀眼夺目，多么的机敏过人，多么的努力坚持。在每个深夜的电脑前，那闪耀的光芒，不知道来自于电脑屏幕，还是来自于她本人。如同她的 ...全文,38834,1235,206
2019-11-18,哈哈哈哈哈哈神经病啊！！！（建议投放电梯间循环播放,24428,1190,1755
2019-11-14,papi酱不定期更新的放送——论父母的日常双标之，当他们是父母时vs当他们是爷爷奶奶/外公外婆时。（ps.片尾有一个小小的官宣。 papi酱的秒拍视频 ,1430325,109963,92719
2019-11-13,小时候以为只要把书本背熟考高分就万事大吉了，后来才发现从理论到实践、从个人到团队，每天都有新东西需要学习，这些职场经验成就了今天的自己。你们听到的#最受用的职场建议# 是什么？#令人心动的offer# ,31269,987,385
2019-11-08,Papi酱不定期更新的放送——这些年，我与双II的，爱恨纠葛。她，充满诱惑，她，复杂迷人，她是一个让我的余额瞬间崩塌的女人。她，就是双II。（祝大家周五愉快！双II战斗顺利！）papi酱的秒拍视频 抽奖详情 ,197397,27828,22683
2019-11-04,周一都来了，周五还会远吗？#明星大侦探# ,62321,2752,1223
2019-10-30,对职场新人来说，每一份#令人心动的offer# 都是人生的一个岔路口，走这条或那条，结局或许大不同，对此，我的选择是：不如用试错去寻找正确答案。#offer初pick# ,16935,1270,727
2019-10-29,如果医院每年也做莫名其妙的盘点 papi酱的微博视频 ,103850,5237,4295
2019-10-24,在作为“papi酱”被认识之前，我曾经历过很长一段漫无目的、浑浑噩噩的日子。然而顺利也好，困难也罢，独一无二的经历让我变成了更好的自己。还记得你们#初入职场的样子# 吗？什么是你们最#令人心动的offer# ？ ,49541,2380,898
2019-10-16,当奇葩同事知道了你的微博账号后。 papi酱的微博视频 ,186500,11294,15931
2019-10-06,当你在父母面前不小心说了脏话 papi酱的微博视频 ,203631,6824,3993
2019-10-01,祖国万岁🇨🇳！,22302,294,1359
2019-09-27,1949到2019，几代人见证了共和国70年的光辉岁月，为祖国骄傲❤️祝祖国生日快乐❤️,13226,193,808
2019-09-23,Papi酱的周一放送——假如游戏课计入高考成绩，那你翻身的日子就来了……吗？（有好多人都说，要是考试考游戏，他就一定能碾压那些学霸，清华北大随便挑了。然而事实真的是这样吗？（祝大家周一快乐！新的一周也要努力（等待国庆假期）哦！papi酱的秒拍视频 ,167847,26041,33966
2019-09-20,全新一代控油洗面奶，专为部分男明星设计 papi酱的微博视频 ,73344,2460,1452
2019-09-09,papi酱的周一放送——这个秋天，108名来自全国各大中小学校的精英教师，将角逐站在这个讲台上的资格。最终，将选出9名教师成团，全国巡讲。最终谁将C位出道？请观看视频！为你喜欢的老师投票加油！（明天就是教师节，祝各位老师节日快乐！  papi酱的秒拍视频 抽奖详情 ,148369,9592,10478
2019-09-06,papi酱不定期更新的日常——距离上一次月饼测评已经过去两年了，今天假美食测评博主pa子再一次冒着长胖的风险，为大家带来《月饼测评2019》。希望大家都能找到自己的有缘月饼！（本期视频里的点评都是我纯主观的感受，有不服的话，先给您道歉了！！（提前祝大家月饼节快乐！ papi酱的微博视频   ...全文,87433,21200,10401
2019-09-05,我觉得姜女士说的对！,20928,1254,596
2019-09-02,papi酱的周一放送——“我们又吵起来了”之中秋吃月饼到底该选什么口味的？到底哪种口味的月饼才是中秋月饼之王？关于这个问题，我们又进行了一场有礼貌的吵架！（这场吵架，期待你的参与！（我们办公室是真的喜欢吵架（周一愉快哦！ papi酱的微博视频 ,98472,9719,4158
2019-09-02,时尚达人pa子为您介绍一款今秋时尚单品——糖果耳环Before：一张平平无奇的糖纸。After：纯手工制作全球限量仅此一份的糖果耳环。#相信小的伟大#，让好事发生，和我一起#BA挑战#吧！ ,25083,1921,1222
2019-08-30,一场说走就走的旅行，一份不期而遇的开除名单（误（我也想去娃儿( ̥́ ˍ ̀ू ),12616,2370,1147
2019-08-23,在夏日，精致都市丽人和吸血鬼是一样的。 papi酱的微博视频 ,62698,1828,1032
2019-08-22,开心，我最喜欢看别人谈恋爱了！,39508,1937,255
2019-08-21,小咪今年8岁，大咪今年10岁，换算成人类的年龄，他们已经步入中老年。大咪是朋友花30块钱买回来的，和老胡看对了眼，成为了我们家的一员。养了大咪两年后，我们怕他孤单，又从网上领养了小咪。小咪刚到家的时候，我们准备了幼猫专用的食品用品，但是小咪直接吃起了大咪的猫粮、用起了大咪的猫砂盆。看 ...全文,133779,7649,2704
2019-08-16,请问，到底是谁打的小报告？ papi酱的微博视频 ,159279,4705,2234
2019-08-14,转发微博,18311,663,553
2019-08-10,扩散！,16402,343,936
2019-08-09,吃饭时的哪种行为你最讨厌？ papi酱的微博视频 ,202994,11514,6429
2019-08-07,在我们上班族眼里，没有七夕，只有周三。 ,110490,3224,2297
2019-08-04,我是护旗手🇨🇳//@何炅:我是护旗手！,34986,842,3406
2019-08-02,住院时发生的尴尬事一则。 papi酱的微博视频 ,349001,12340,5239
2019-07-28,男生打伞也挺好啊（要不要试试大小咪的伞？（此老胡非彼老胡,23040,862,1053
2019-07-26,papitube三周年快乐！勿忘初心，自由自在！,23210,717,409
2019-07-24,《闺蜜聊天宝典》你学会了吗？ papi酱的微博视频 ,228359,18024,9466
2019-07-17,见到明星的你vs见到普通人的你 papi酱的微博视频 ,150079,5701,3783
2019-07-10,毕业十周年快乐～🎉🎉🎉,102072,3767,841
